Symbol	Name	Morningstar Category	NAV Return	NAV Return	Minimum Investment	Net Expense Ratio	No Transaction Fees	Morningstar Rating
ICELX	 MainStay Epoch International Choice Inv	 Foreign Large Blend	 +17.07%	 +22.17%	" $1,000"	 1.39%	  	2
ICEWX	 MainStay Epoch International Choice C	 Foreign Large Blend	 +16.65%	 +21.24%	" $1,000"	 2.14%	  	2
ICLLX	 Transamerica Asset Allocation Cnsrv C	 Allocation--30% to 50% Equity	 +5.03%	 +6.77%	" $1,000"	 1.96%	  	2
ICRSX	 Federated InterContinental R6	 Foreign Large Blend	 +17.54%	 +21.13%	 $0	 0.95%	  	2
IDFWX	 Voya Diversified International W	 Foreign Large Blend	 +14.89%	 +18.42%	" $1,000"	 1.08%	  	2
IDIEX	 Ivy Dividend Opportunities E	 Large Blend	 +6.12%	 +10.75%	 $750	 1.13%	  	2
IEGAX	 Invesco International Small Company A	 Foreign Small/Mid Blend	 +20.92%	 +28.71%	" $1,000"	 1.58%	  	2
IEGCX	 Invesco International Small Company C	 Foreign Small/Mid Blend	 +20.43%	 +27.68%	" $1,000"	 2.33%	  	2
IEMCX	 Invesco Emerging Markets Equity C	 Diversified Emerging Mkts	 +20.06%	 +20.25%	" $1,000"	 2.09%	  	2
IEMJX	 Voya Multi-Manager Emerging Markets Eq C	 Diversified Emerging Mkts	 +21.75%	 +25.54%	" $1,000"	 2.34%	  	2
IEMKX	 Voya Multi-Manager Emerging Markets Eq R	 Diversified Emerging Mkts	 +22.08%	 +26.20%	 $0	 1.84%	  	2
IEMRX	 Invesco Emerging Markets Equity R	 Diversified Emerging Mkts	 +20.54%	 +20.73%	 $0	 1.59%	  	2
IEPIX	 Voya Emerging Markets Index Port I	 Diversified Emerging Mkts	 +18.47%	 +22.31%	 $0	 0.55%	  	2
IEPSX	 Voya Emerging Markets Index Port S	 Diversified Emerging Mkts	 +18.39%	 +22.64%	 $0	 0.80%	  	2
IFFOX	 Voya Diversified International O	 Foreign Large Blend	 +14.90%	 +18.19%	" $1,000"	 1.33%	  	2
IFFRX	 Voya Diversified International R	 Foreign Large Blend	 +14.66%	 +17.96%	 $0	 1.58%	  	2
IGIAX	 Integrity Growth & Income A	 Large Blend	 +6.28%	 +12.30%	" $1,000"	 1.25%	 NTF	2
IGIUX	 Integrity Growth & Income C	 Large Blend	 +5.89%	 +11.46%	" $1,000"	 2.00%	  	2
IGIVX	 Integrity Growth & Income I	 Large Blend	 +6.43%	 +12.61%	" $1,000"	 1.00%	  	2
IGTCX	 Transamerica Dynamic Income C	 Allocation--15% to 30% Equity	 +3.66%	 +2.10%	" $1,000"	 2.06%	  	2
IIBRX	 Invesco Intl Core Equity R	 Foreign Large Blend	 +10.99%	 +17.50%	 $0	 1.37%	  	2
IMLLX	 Transamerica Asset Allocation Mod Gr C	 Allocation--50% to 70% Equity	 +7.87%	 +12.46%	" $1,000"	 2.07%	  	2
INACX	 Invesco International Allocation C	 Foreign Large Blend	 +13.31%	 +17.47%	" $1,000"	 2.22%	  	2
IOBAX	 ICON Bond A	 Corporate Bond	 +2.92%	 +4.22%	" $1,000"	 1.10%	  	2
IOBCX	 ICON Bond C	 Corporate Bond	 +2.65%	 +3.57%	" $1,000"	 1.70%	  	2
IOCAX	 ICON Risk-Managed Balanced A	 Allocation--50% to 70% Equity	 +5.98%	 +10.24%	" $1,000"	 1.54%	  	2
IOCCX	 ICON Risk-Managed Balanced C	 Allocation--50% to 70% Equity	 +5.55%	 +9.44%	" $1,000"	 2.29%	  	2
IOCZX	 ICON Risk-Managed Balanced S	 Allocation--50% to 70% Equity	 +6.17%	 +10.56%	" $1,000"	 1.29%	 NTF	2
IRGPX	 Voya Retirement Growth Port A	 Allocation--70% to 85% Equity	 +8.02%	 +12.82%	 $0	 1.06%	  	2
ISRAX	 Voya Solution 2045 Port ADV	 Target-Date 2045	 +9.78%	 +16.02%	 $0	 1.36%	  	2
ISRTX	 Voya Solution 2045 Port T	 Target-Date 2045	 +9.68%	 +15.89%	 $0	 1.56%	  	2
ISTPX	 Voya Solution 2055 Port T	 Target-Date 2055	 +9.92%	 +16.20%	 $0	 1.56%	  	2
ITHAX	 Hartford Capital Appreciation A	 Large Blend	 +12.90%	 +20.01%	" $2,000"	 1.10%	 NTF	2
ITHRX	 Hartford Capital Appreciation R3	 Large Blend	 +12.75%	 +19.66%	 $0	 1.40%	  	2
ITHSX	 Hartford Capital Appreciation R4	 Large Blend	 +12.90%	 +20.02%	 $0	 1.10%	  	2
ITSPX	 Voya Solution 2055 Port S2	 Target-Date 2055	 +10.07%	 +16.48%	 $0	 1.26%	  	2
IVDAX	 Ivy Dividend Opportunities A	 Large Blend	 +6.11%	 +10.71%	 $750	 1.26%	 NTF	2
IVDIX	 Ivy Dividend Opportunities I	 Large Blend	 +6.25%	 +11.02%	 $0	 0.95%	  	2
IVDYX	 Ivy Dividend Opportunities Y	 Large Blend	 +6.13%	 +10.77%	 $0	 1.19%	  	2
IYBFX	 Ivy Balanced R	 Allocation--50% to 70% Equity	 +5.73%	 +7.87%	 $0	 1.44%	  	2
JASOX	 JHancock New Opportunities A	 Small Blend	 +3.58%	 +21.86%	" $1,000"	 1.21%	 NTF	2
JBSOX	 JHancock New Opportunities C	 Small Blend	 +3.24%	 +21.03%	" $1,000"	 1.91%	  	2
JCLAX	 JHancock Multimanager Lifestyle Agrsv C	 Allocation--85%+ Equity	 +11.25%	 +18.32%	" $1,000"	 2.13%	  	2
JCLBX	 JHancock Multimanager Lifestyle Bal C	 Allocation--50% to 70% Equity	 +7.44%	 +11.84%	" $1,000"	 2.05%	  	2
JCLGX	 JHancock Multimanager Lifestyle Gr C	 Allocation--70% to 85% Equity	 +9.32%	 +15.19%	" $1,000"	 2.08%	  	2
JCLMX	 JHancock Multimanager Lifestyle Mod C	 Allocation--30% to 50% Equity	 +5.52%	 +8.04%	" $1,000"	 2.00%	  	2
JCSAX	 JHancock Small Company A	 Small Blend	 +4.51%	 +18.60%	" $1,000"	 1.44%	 NTF	2
JCSDX	 JHancock Small Company ADV	 Small Blend	 +4.55%	 +18.67%	 $0	 1.35%	  	2
JCSFX	 JHancock Small Company R4	 Small Blend	 +4.64%	 +18.84%	 $0	 1.31%	  	2
JCSHX	 JHancock Small Company R3	 Small Blend	 +4.38%	 +18.22%	 $0	 1.71%	  	2
JCSOX	 JHancock Small Company R1	 Small Blend	 +4.30%	 +18.10%	 $0	 1.81%	  	2
JCSPX	 JHancock Small Company R2	 Small Blend	 +4.47%	 +18.48%	 $0	 1.56%	  	2
JEEAX	 JPMorgan Emerging Economies A	 Diversified Emerging Mkts	 +18.54%	 +25.14%	" $1,000"	 1.35%	 NTF	2
JEECX	 JPMorgan Emerging Economies C	 Diversified Emerging Mkts	 +18.17%	 +24.51%	" $1,000"	 1.85%	  	2
JEERX	 JPMorgan Emerging Economies R5	 Diversified Emerging Mkts	 +18.71%	 +25.65%	 $0	 0.95%	  	2
JEICX	 JPMorgan International Equity Income C	 Foreign Large Blend	 +10.37%	 +13.72%	" $1,000"	 1.75%	  	2
JETAX	 Aberdeen Select International Eq II A	 Foreign Large Blend	 +20.51%	 +19.61%	" $1,000"	 1.50%	 NTF	2
JFFCX	 JPMorgan SmartRetirementÂ® 2055 C	 Target-Date 2055	 +9.85%	 +15.20%	 $500	 1.55%	  	2
JGARX	 Prudential Growth Allocation R	 Allocation--85%+ Equity	 +8.91%	 +16.82%	 $0	 1.77%	  	2
JIACX	 JPMorgan Intrepid America C	 Large Blend	 +7.11%	 +15.69%	" $1,000"	 1.51%	  	2
JIEZX	 JPMorgan International Equity R2	 Foreign Large Blend	 +15.35%	 +21.87%	 $0	 1.49%	  	2
JINTX	 Johnson International	 Foreign Large Blend	 +10.54%	 +14.69%	" $2,000"	 1.01%	  	2
JIOCX	 JPMorgan International Opportunities C	 Foreign Large Blend	 +12.93%	 +16.80%	" $1,000"	 1.74%	  	2
JISDX	 JHancock International Small Company C	 Foreign Small/Mid Blend	 +15.95%	 +22.55%	" $1,000"	 2.18%	  	2
JISOX	 JHancock New Opportunities 1	 Small Blend	 +3.78%	 +22.38%	 $0	 0.84%	  	2
JLAAX	 JHancock Multimanager 2010 Lifetime A	 Target-Date 2000-2010	 +5.74%	 +8.89%	" $1,000"	 0.93%	 NTF	2
JLADX	 JHancock Multimanager 2010 Lifetime R1	 Target-Date 2000-2010	 +5.53%	 +8.59%	 $0	 1.25%	  	2
JLAFX	 JHancock Multimanager 2010 Lifetime R3	 Target-Date 2000-2010	 +5.64%	 +8.67%	 $0	 1.15%	  	2
JLBDX	 JHancock Multimanager 2015 Lifetime R1	 Target-Date 2015	 +6.10%	 +9.73%	 $0	 1.28%	  	2
JLKMX	 JHancock Multimanager 2055 Lifetime R1	 Target-Date 2055	 +10.36%	 +17.81%	 $0	 1.34%	  	2
JLKPX	 JHancock Multimanager 2055 Lifetime R3	 Target-Date 2055	 +10.36%	 +17.79%	 $0	 1.24%	  	2
JMARX	 Prudential Moderate Allocation R	 Allocation--50% to 70% Equity	 +7.00%	 +12.29%	 $0	 1.67%	  	2
JPLAX	 JHancock Multimanager Lifestyle Agrsv R1	 Allocation--85%+ Equity	 +11.40%	 +18.69%	 $0	 1.77%	  	2
JPLBX	 JHancock Multimanager Lifestyle Bal R1	 Allocation--50% to 70% Equity	 +7.66%	 +12.22%	 $0	 1.69%	  	2
JPSAX	 JPMorgan US Dynamic Plus A	 Large Blend	 +5.70%	 +16.61%	" $1,000"	 1.20%	 NTF	2
JPSCX	 JPMorgan US Dynamic Plus C	 Large Blend	 +5.40%	 +15.95%	" $1,000"	 1.70%	  	2
JREOX	 JHancock Multi-Index 2025 Presv 1	 Target-Date 2025	 +5.49%	 +8.12%	 $0	 0.40%	  	2
JREPX	 JHancock Multi-Index 2025 Presv R4	 Target-Date 2025	 +5.47%	 +8.05%	 $0	 0.60%	  	2
JREQX	 JHancock Multi-Index 2025 Presv R1	 Target-Date 2025	 +5.15%	 +7.36%	 $0	 1.10%	  	2
JRERX	 JHancock Multi-Index 2025 Presv R2	 Target-Date 2025	 +5.40%	 +7.80%	 $0	 0.85%	  	2
JRFRX	 JPMorgan Diversified Real Return R2	 Allocation--15% to 30% Equity	 +2.73%	 +3.16%	 $0	 1.40%	  	2
JRHPX	 JHancock Multi-Index 2030 Presv R4	 Target-Date 2030	 +7.07%	 +11.56%	 $0	 0.61%	  	2
JRHQX	 JHancock Multi-Index 2030 Presv R1	 Target-Date 2030	 +6.77%	 +10.97%	 $0	 1.11%	  	2
JRIOX	 JHancock Multi-Index 2050 Presv 1	 Target-Date 2050	 +8.99%	 +15.73%	 $0	 0.43%	  	2
JRIPX	 JHancock Multi-Index 2050 Presv R4	 Target-Date 2050	 +8.78%	 +15.45%	 $0	 0.63%	  	2
JRLAX	 JHancock Multimanager Lifestyle Agrsv R3	 Allocation--85%+ Equity	 +11.51%	 +18.86%	 $0	 1.67%	  	2
JRLBX	 JHancock Multimanager Lifestyle Bal R3	 Allocation--50% to 70% Equity	 +7.69%	 +12.37%	 $0	 1.59%	  	2
JRLRX	 JPMorgan Diversified Real Return R5	 Allocation--15% to 30% Equity	 +3.08%	 +3.77%	 $0	 0.75%	  	2
JRNAX	 JPMorgan Diversified Real Return A	 Allocation--15% to 30% Equity	 +2.90%	 +3.42%	" $1,000"	 1.10%	 NTF	2
JRRPX	 JHancock Multi-Index 2040 Presv R4	 Target-Date 2040	 +8.59%	 +14.97%	 $0	 0.61%	  	2
JRSOX	 JHancock New Opportunities R1	 Small Blend	 +3.54%	 +21.81%	 $0	 1.56%	 NTF	2
JRVOX	 JHancock Multi-Index 2045 Presv 1	 Target-Date 2045	 +8.88%	 +15.67%	 $0	 0.42%	  	2
JRVPX	 JHancock Multi-Index 2045 Presv R4	 Target-Date 2045	 +8.85%	 +15.55%	 $0	 0.62%	  	2
JRVQX	 JHancock Multi-Index 2045 Presv R1	 Target-Date 2045	 +8.56%	 +14.97%	 $0	 1.12%	  	2
JRWOX	 JHancock Multi-Index 2020 Presv 1	 Target-Date 2020	 +3.83%	 +4.49%	 $0	 0.38%	  	2
JRWQX	 JHancock Multi-Index 2020 Presv R1	 Target-Date 2020	 +3.47%	 +3.87%	 $0	 1.08%	  	2
JRWRX	 JHancock Multi-Index 2020 Presv R2	 Target-Date 2020	 +3.56%	 +4.09%	 $0	 0.83%	  	2
JRYQX	 JHancock Multi-Index 2035 Presv R1	 Target-Date 2035	 +7.73%	 +13.14%	 $0	 1.11%	  	2
JSMRX	 JPMorgan SmartAllocation Equity R2	 Large Blend	 +10.39%	 +17.00%	 $0	 1.38%	  	2
JSRRX	 JPMorgan SmartAllocation Equity R5	 Large Blend	 +10.77%	 +17.85%	 $0	 0.68%	  	2
JSSOX	 JHancock New Opportunities R2	 Small Blend	 +3.46%	 +21.91%	 $0	 1.31%	  	2
JTSCX	 JPMorgan SmartRetirementÂ® 2050 C	 Target-Date 2050	 +9.90%	 +15.23%	 $500	 1.55%	  	2
JTSOX	 JHancock New Opportunities R3	 Small Blend	 +3.51%	 +21.76%	 $0	 1.46%	 NTF	2
JUSOX	 JHancock New Opportunities R4	 Small Blend	 +3.73%	 +22.27%	 $0	 1.06%	 NTF	2
JVSOX	 JHancock New Opportunities R5	 Small Blend	 +3.80%	 +22.39%	 $0	 0.86%	  	2
LAMQX	 Lord Abbett Calibrated Dividend Gr R2	 Large Blend	 +6.77%	 +10.34%	 $0	 1.30%	  	2
LAMRX	 Lord Abbett Calibrated Dividend Gr R3	 Large Blend	 +6.84%	 +10.46%	 $0	 1.20%	  	2
LCBOX	 ClearBridge Dividend Strategy 1	 Large Blend	 +8.41%	 +14.88%	 $0	 0.87%	  	2
LFIBX	 MFS Lifetime 2055 B	 Target-Date 2055	 +9.73%	 +14.30%	" $1,000"	 1.66%	  	2
LFICX	 MFS Lifetime 2055 C	 Target-Date 2055	 +9.72%	 +14.27%	" $1,000"	 1.66%	  	2
LFIRX	 MFS Lifetime 2055 R1	 Target-Date 2055	 +9.59%	 +14.13%	 $0	 1.66%	  	2
LICAX	 Lord Abbett Intl Core Equity A	 Foreign Large Blend	 +11.43%	 +16.09%	" $1,500"	 1.12%	 NTF	2
LICCX	 Lord Abbett Intl Core Equity C	 Foreign Large Blend	 +10.99%	 +15.14%	" $1,500"	 1.87%	  	2
LICFX	 Lord Abbett Intl Core Equity F	 Foreign Large Blend	 +11.51%	 +16.34%	 $0	 0.87%	  	2
LICOX	 Lord Abbett Intl Core Equity F3	 Foreign Large Blend	 +11.61%	 +16.40%	 $0	 0.70%	  	2
LICPX	 Lord Abbett Intl Core Equity P	 Foreign Large Blend	 +11.23%	 +15.78%	 $0	 1.32%	  	2
LICSX	 Lord Abbett Intl Core Equity R4	 Foreign Large Blend	 +11.46%	 +16.09%	 $0	 1.12%	  	2
LICTX	 Lord Abbett Intl Core Equity R5	 Foreign Large Blend	 +11.45%	 +16.23%	 $0	 0.87%	  	2
LICVX	 Lord Abbett Intl Core Equity R6	 Foreign Large Blend	 +11.60%	 +16.51%	 $0	 0.70%	  	2
LKFIX	 LKCM Fixed-Income	 Corporate Bond	 +1.60%	 +1.06%	" $2,000"	 0.51%	  	2
LLARX	 QS Conservative Growth R	 Allocation--50% to 70% Equity	 +6.39%	 +10.28%	 $0	 1.50%	  	2
LLLRX	 QS Growth R	 Allocation--85%+ Equity	 +7.64%	 +15.52%	 $0	 1.62%	  	2
LLMRX	 QS Moderate Growth R	 Allocation--70% to 85% Equity	 +7.12%	 +13.33%	 $0	 1.57%	  	2
LMBCX	 QS US Small Capitalization Equity C	 Small Blend	 +0.70%	 +19.33%	" $1,000"	 1.96%	  	2
LMMRX	 ClearBridge Dividend Strategy R	 Large Blend	 +8.16%	 +14.33%	 $0	 1.38%	  	2
LMOFX	 Miller Opportunity FI	 Mid-Cap Blend	 +19.98%	 +49.65%	 $0	 1.42%	 NTF	2
LMOPX	 Miller Opportunity C	 Mid-Cap Blend	 +19.57%	 +48.55%	" $1,000"	 2.13%	  	2
LMORX	 Miller Opportunity R	 Mid-Cap Blend	 +19.79%	 +49.15%	 $0	 1.71%	  	2
LMPIX	 ClearBridge Appreciation FI	 Large Blend	 +8.16%	 +13.35%	 $0	 1.01%	  	2
LMVFX	 ClearBridge Value FI	 Large Blend	 +6.79%	 +19.73%	 $0	 1.15%	  	2
LMVRX	 ClearBridge Value R	 Large Blend	 +6.69%	 +19.48%	 $0	 1.40%	  	2
LMVTX	 ClearBridge Value C	 Large Blend	 +6.44%	 +18.99%	" $1,000"	 1.77%	  	2
LPBAX	 BlackRock LifePathÂ® Dyn 2025 Investor A	 Target-Date 2025	 +7.17%	 +10.28%	" $1,000"	 0.90%	 NTF	2
LPCMX	 BlackRock LifePathÂ® Dyn 2020 Investor C	 Target-Date 2020	 +5.78%	 +7.61%	" $1,000"	 1.71%	  	2
LPHAX	 BlackRock LifePathÂ® Dyn 2045 Investor A	 Target-Date 2045	 +10.27%	 +15.97%	" $1,000"	 0.89%	 NTF	2
LPREX	 BlackRock LifePathÂ® Dyn 2040 Investor A	 Target-Date 2040	 +9.92%	 +15.24%	" $1,000"	 0.91%	 NTF	2
LPRFX	 BlackRock LifePathÂ® Dyn 2050 Investor A	 Target-Date 2050	 +10.44%	 +16.33%	" $1,000"	 0.89%	 NTF	2
LPRKX	 BlackRock LifePathÂ® Dyn 2040 R	 Target-Date 2040	 +9.74%	 +14.96%	 $100	 1.11%	  	2
LPRMX	 BlackRock LifePathÂ® Dyn 2020 R	 Target-Date 2020	 +6.15%	 +8.32%	 $100	 1.11%	  	2
LPRNX	 BlackRock LifePathÂ® Dyn 2030 R	 Target-Date 2030	 +8.19%	 +11.99%	 $100	 1.11%	  	2
LPRPX	 BlackRock LifePathÂ® Dyn 2050 R	 Target-Date 2050	 +10.32%	 +16.03%	 $100	 1.09%	  	2
LPVAX	 BlackRock LifePathÂ® Dyn 2055 Investor A	 Target-Date 2055	 +10.24%	 +16.19%	" $1,000"	 0.88%	 NTF	2
LPVRX	 BlackRock LifePathÂ® Dyn 2055 R	 Target-Date 2055	 +10.09%	 +15.94%	 $100	 1.08%	  	2
LRSFX	 Lord Abbett Small Cap Value F	 Small Blend	 +0.36%	 +15.20%	 $0	 1.02%	  	2
LRSQX	 Lord Abbett Small Cap Value R2	 Small Blend	 +0.10%	 +14.60%	 $0	 1.52%	  	2
LRSRX	 Lord Abbett Small Cap Value R3	 Small Blend	 +0.19%	 +14.76%	 $0	 1.42%	  	2
LSMAX	 Columbia Disciplined Small Core A	 Small Blend	 +0.23%	 +19.75%	" $2,000"	 1.39%	  	2
LSMBX	 Columbia Disciplined Small Core B	 Small Blend	 -0.19%	 +18.86%	" $2,000"	 2.14%	  	2
LSMCX	 Columbia Disciplined Small Core C	 Small Blend	 -0.19%	 +18.81%	" $2,000"	 2.14%	  	2
LTANX	 Principal LifeTime 2035 R1	 Target-Date 2035	 +8.90%	 +12.92%	 $0	 1.56%	  	2
LTASX	 Principal LifeTime 2015 R2	 Target-Date 2015	 +6.15%	 +8.56%	 $0	 1.43%	  	2
LTFDX	 Principal LifeTime 2055 R3	 Target-Date 2055	 +10.31%	 +15.72%	 $0	 1.30%	  	2
LTFGX	 Principal LifeTime 2055 R1	 Target-Date 2055	 +10.22%	 +15.34%	 $0	 1.61%	  	2
LTFSX	 Principal LifeTime 2055 R2	 Target-Date 2055	 +10.28%	 +15.53%	 $0	 1.48%	  	2
LTRGX	 Principal LifeTime 2045 R1	 Target-Date 2045	 +9.63%	 +14.32%	 $0	 1.60%	  	2
LTRSX	 Principal LifeTime 2045 R2	 Target-Date 2045	 +9.73%	 +14.52%	 $0	 1.47%	  	2
LTRVX	 Principal LifeTime 2045 R3	 Target-Date 2045	 +9.77%	 +14.69%	 $0	 1.29%	  	2
LTSGX	 Principal LifeTime 2015 R1	 Target-Date 2015	 +6.19%	 +8.37%	 $0	 1.56%	  	2
LTTBX	 MFS Lifetime 2025 B	 Target-Date 2025	 +6.32%	 +8.42%	" $1,000"	 1.61%	  	2
LTTCX	 MFS Lifetime 2025 C	 Target-Date 2025	 +6.26%	 +8.34%	" $1,000"	 1.61%	  	2
LTTRX	 MFS Lifetime 2025 R1	 Target-Date 2025	 +6.28%	 +8.34%	 $0	 1.61%	  	2
LTVIX	 Principal LifeTime 2035 R2	 Target-Date 2035	 +9.01%	 +13.11%	 $0	 1.43%	  	2
LVLAX	 Invesco Low Volatility Emerging Mkts A	 Diversified Emerging Mkts	 +16.48%	 +18.83%	" $1,000"	 1.34%	  	2
LVLRX	 Invesco Low Volatility Emerging Mkts R	 Diversified Emerging Mkts	 +16.20%	 +18.43%	 $0	 1.59%	  	2
LVLYX	 Invesco Low Volatility Emerging Mkts Y	 Diversified Emerging Mkts	 +16.45%	 +19.06%	" $1,000"	 1.09%	  	2
LWLAX	 QS Defensive Growth C	 Allocation--30% to 50% Equity	 +5.09%	 +6.61%	" $1,000"	 1.86%	  	2
MAGBX	 Madison Aggressive Allocation B	 Allocation--70% to 85% Equity	 +8.33%	 +12.55%	" $1,000"	 1.90%	  	2
MAPBX	 MainStay MAP Equity B	 Large Blend	 +10.01%	 +18.99%	" $1,000"	 2.04%	  	2
MAPRX	 MainStay MAP Equity R1	 Large Blend	 +10.59%	 +20.31%	 $0	 0.94%	  	2
MAWBX	 MainStay Epoch US All Cap B	 Large Blend	 +9.54%	 +19.85%	" $1,000"	 2.23%	  	2
MAWCX	 MainStay Epoch US All Cap C	 Large Blend	 +9.48%	 +19.84%	" $1,000"	 2.23%	  	2
MAWNX	 MainStay Epoch US All Cap Inv	 Large Blend	 +9.98%	 +20.80%	" $1,000"	 1.48%	  	2
MCDCX	 BlackRock Emerging Mkts Inv C	 Diversified Emerging Mkts	 +21.11%	 +19.74%	" $1,000"	 2.52%	  	2
MCIQX	 FDP BlackRock MFS Research Intl Inv C	 Foreign Large Blend	 +15.74%	 +17.85%	" $1,000"	 2.24%	  	2
MCLRX	 BlackRock Advantage Large Cap Core Inv C	 Large Blend	 +8.86%	 +22.01%	" $1,000"	 1.48%	  	2
MCNBX	 Madison Conservative Allocation B	 Allocation--30% to 50% Equity	 +4.53%	 +4.59%	" $1,000"	 1.88%	  	2
MCOCX	 Madison Conservative Allocation C	 Allocation--30% to 50% Equity	 +4.63%	 +4.35%	" $1,000"	 1.88%	  	2
MCONX	 Praxis Genesis Conservative A	 Allocation--30% to 50% Equity	 +4.47%	 +4.85%	" $1,000"	 1.12%	 NTF	2
MCSPX	 BlackRock Value Opportunities Inv C	 Small Blend	 +1.07%	 +18.85%	" $1,000"	 2.09%	  	2
MDSPX	 BlackRock Value Opportunities Inv A	 Small Blend	 +1.45%	 +19.82%	" $1,000"	 1.26%	 NTF	2
MEMBX	 MFS Emerging Markets Equity B	 Diversified Emerging Mkts	 +19.36%	 +22.98%	" $1,000"	 2.40%	  	2
MEMCX	 MFS Emerging Markets Equity C	 Diversified Emerging Mkts	 +19.35%	 +22.96%	" $1,000"	 2.40%	  	2
MEMFX	 MFS Emerging Markets Equity R2	 Diversified Emerging Mkts	 +19.59%	 +23.53%	 $0	 1.90%	  	2
MEMGX	 MFS Emerging Markets Equity R3	 Diversified Emerging Mkts	 +19.79%	 +23.87%	 $0	 1.65%	  	2
MEMHX	 MFS Emerging Markets Equity R4	 Diversified Emerging Mkts	 +19.93%	 +24.17%	 $0	 1.40%	  	2
MEMJX	 MFS Emerging Markets Equity R6	 Diversified Emerging Mkts	 +19.97%	 +24.30%	 $0	 1.29%	  	2
MEMRX	 MFS Emerging Markets Equity R1	 Diversified Emerging Mkts	 +19.34%	 +22.97%	 $0	 2.40%	  	2
MFLBX	 MFS Lifetime 2020 B	 Target-Date 2020	 +4.76%	 +5.69%	" $1,000"	 1.58%	  	2
MFLCX	 MFS Lifetime 2020 C	 Target-Date 2020	 +4.82%	 +5.69%	" $1,000"	 1.58%	  	2
MFLEX	 MFS Lifetime 2020 R1	 Target-Date 2020	 +4.83%	 +5.66%	 $0	 1.58%	  	2
MFQAX	 AMG FQ Tax-Managed US Equity N	 Large Blend	 +6.93%	 +16.56%	" $2,000"	 1.14%	 NTF	2
MFRSX	 MassMutual RetireSMART 2040 Service	 Target-Date 2040	 +9.04%	 +15.83%	 $0	 0.80%	  	2
MFVFX	 MassMutual Select Equity Opports R4	 Large Blend	 +9.98%	 +32.00%	 $0	 1.18%	  	2
MGOCX	 MainStay Common Stock C	 Large Blend	 +8.22%	 +14.77%	" $1,000"	 1.98%	  	2
MGXBX	 MainStay Growth Allocation B	 Allocation--85%+ Equity	 +8.36%	 +16.82%	" $1,000"	 2.61%	  	2
MGXCX	 MainStay Growth Allocation C	 Allocation--85%+ Equity	 +8.35%	 +16.79%	" $1,000"	 2.61%	  	2
MKRAX	 MM MSCI EAFEÂ® International Index A	 Foreign Large Blend	 +14.29%	 +19.31%	 $0	 0.85%	  	2
MKRTX	 MM MSCI EAFEÂ® International Index R3	 Foreign Large Blend	 +14.21%	 +19.10%	 $0	 1.00%	  	2
MLTBX	 MFS Lifetime 2030 B	 Target-Date 2030	 +8.11%	 +11.84%	" $1,000"	 1.64%	  	2
MLTCX	 MFS Lifetime 2030 C	 Target-Date 2030	 +8.08%	 +11.79%	" $1,000"	 1.64%	  	2
MLTEX	 MFS Lifetime 2030 R1	 Target-Date 2030	 +8.06%	 +11.82%	 $0	 1.64%	  	2
MMAPX	 MainStay MAP Equity R3	 Large Blend	 +10.34%	 +19.72%	 $0	 1.44%	  	2
MMARX	 MassMutual RetireSMART 2050 A	 Target-Date 2050	 +9.60%	 +16.70%	 $0	 1.14%	  	2
MMDCX	 Madison Moderate Allocation C	 Allocation--50% to 70% Equity	 +6.63%	 +8.96%	" $1,000"	 1.90%	  	2
MMDRX	 Madison Moderate Allocation B	 Allocation--50% to 70% Equity	 +6.73%	 +9.06%	" $1,000"	 1.90%	  	2
MMJAX	 MassMutual RetireSMART 2015 A	 Target-Date 2015	 +5.49%	 +8.42%	 $0	 1.11%	  	2
MMJNX	 MassMutual RetireSMART 2015 R3	 Target-Date 2015	 +5.33%	 +8.14%	 $0	 1.26%	  	2
MMJTX	 MassMutual RetireSMART 2015 R5	 Target-Date 2015	 +5.71%	 +8.84%	 $0	 0.66%	  	2
MMJUX	 MassMutual RetireSMART 2015 I	 Target-Date 2015	 +5.71%	 +8.99%	 $0	 0.56%	  	2
MMJZX	 MassMutual RetireSMART 2015 R4	 Target-Date 2015	 +5.52%	 +8.43%	 $0	 1.01%	  	2
MMKAX	 MassMutual RetireSMART 2045 A	 Target-Date 2045	 +9.06%	 +15.77%	 $0	 1.13%	  	2
MMKTX	 MassMutual RetireSMART 2045 R5	 Target-Date 2045	 +9.30%	 +16.30%	 $0	 0.68%	  	2
MMKUX	 MassMutual RetireSMART 2045 I	 Target-Date 2045	 +9.39%	 +16.53%	 $0	 0.58%	  	2
MMKYX	 MassMutual RetireSMART 2045 Adm	 Target-Date 2045	 +9.24%	 +16.18%	 $0	 0.88%	  	2
MMNTX	 MassMutual RetireSMART 2025 R5	 Target-Date 2025	 +8.00%	 +13.59%	 $0	 0.65%	  	2
MMNUX	 MassMutual RetireSMART 2025 I	 Target-Date 2025	 +7.92%	 +13.66%	 $0	 0.55%	  	2
MMPCX	 MainStay MAP Equity C	 Large Blend	 +10.01%	 +18.99%	" $1,000"	 2.04%	  	2
MMRNX	 MassMutual RetireSMART 2050 R3	 Target-Date 2050	 +9.45%	 +16.54%	 $0	 1.29%	  	2
MMRTX	 MassMutual RetireSMART 2050 R5	 Target-Date 2050	 +9.78%	 +17.33%	 $0	 0.69%	  	2
MMRUX	 MassMutual RetireSMART 2050 I	 Target-Date 2050	 +9.89%	 +17.41%	 $0	 0.59%	  	2
