Symbol	Name	Morningstar Category	NAV Return	NAV Return	Minimum Investment	Net Expense Ratio	No Transaction Fees	Morningstar Rating
FDFTX	 American Funds 2035 Trgt Date Retire F3	 Target-Date 2035	 +10.40%	 +15.55%	 $250	 0.41%	  	5
FINFX	 American Funds Fundamental Invs F2	 Large Blend	 +10.03%	 +19.31%	 $250	 0.41%	  	5
FKEMX	 FidelityÂ® Emerging Markets K	 Diversified Emerging Mkts	 +24.92%	 +21.33%	 $0	 0.84%	  	5
FNWFX	 American Funds New World F3	 Diversified Emerging Mkts	 +17.33%	 +19.24%	 $250	 0.66%	  	5
FOHJX	 FidelityÂ® Series 100 Index F	 Large Blend	 +8.95%	 +17.75%	 $0	 0.05%	  	5
FOSCX	 Tributary Small Company Instl	 Small Blend	 +3.65%	 +22.72%	" $1,000"	 1.18%	  	5
FPUKX	 FidelityÂ® PuritanÂ® K	 Allocation--50% to 70% Equity	 +8.72%	 +13.05%	 $0	 0.46%	  	5
FTHNX	 Fuller & Thaler Behav Sm-Cp Eq Inv	 Small Blend	 +6.03%	 +27.54%	" $1,000"	 1.07%	 NTF	5
FZAAX	 Fidelity AdvisorÂ® Balanced Z	 Allocation--50% to 70% Equity	 +8.66%	 +13.82%	 $0	 0.50%	  	5
GCIRX	 Goldman Sachs Intl Eq Insghts R	 Foreign Large Blend	 +16.16%	 +22.38%	 $0	 1.45%	  	5
GCITX	 Goldman Sachs Intl Eq Insghts IR	 Foreign Large Blend	 +16.47%	 +22.99%	 $0	 0.95%	  	5
GDMZX	 GuideStone Funds Defensv Mkt Strats Inv	 Allocation--50% to 70% Equity	 +6.01%	 +10.48%	" $1,000"	 0.97%	  	5
GIARX	 GuidePathÂ® Absolute Return Allc Instl	 Allocation--15% to 30% Equity	 +3.17%	 +7.34%	 $0	 1.08%	  	5
GILVX	 GuideMarkÂ® Emerging Markets Instl	 Diversified Emerging Mkts	 +19.58%	 +23.32%	 $0	 0.89%	  	5
GITRX	 Goldman Sachs International T/M Eq IR	 Foreign Large Blend	 +16.26%	 +20.45%	 $0	 1.05%	  	5
GMLVX	 GuideMarkÂ® Emerging Markets Service	 Diversified Emerging Mkts	 +19.29%	 +22.66%	 $0	 1.56%	  	5
GSUTX	 Goldman Sachs US Equity Insights IR	 Large Blend	 +10.22%	 +20.04%	 $0	 0.71%	  	5
GTLOX	 Glenmede Large Cap Core Port	 Large Blend	 +9.72%	 +19.35%	 $0	 0.88%	 NTF	5
